epoch,loss,accuracy,auc,val_loss,val_accuracy,val_auc
1,0.13581249117851257,0.8041162490844727,0.8634628057479858,0.11247974634170532,0.8261350989341736,0.9518869519233704
2,0.05751035362482071,0.9145278334617615,0.9616690278053284,0.0888010635972023,0.8903654217720032,0.9675509333610535
3,0.04826544597744942,0.9249394536018372,0.9724067449569702,0.07591719925403595,0.9169435501098633,0.9716647863388062
4,0.049296971410512924,0.9271186590194702,0.9706290364265442,0.06654108315706253,0.9180509448051453,0.9726171493530273
5,0.04541337862610817,0.9291767477989197,0.9762566089630127,0.06568211317062378,0.9246954321861267,0.9748273491859436
6,0.04495823755860329,0.9329297542572021,0.9763532876968384,0.05722007155418396,0.9263566136360168,0.9751180410385132
7,0.040567222982645035,0.9363195896148682,0.9816573858261108,0.05098296329379082,0.9235880374908447,0.976308286190033
8,0.0395515114068985,0.9394673109054565,0.9824053645133972,0.05165965110063553,0.934108555316925,0.9777949452400208
9,0.03718661889433861,0.9393462538719177,0.9849254488945007,0.04817173629999161,0.936323344707489,0.9781488180160522
10,0.03671448677778244,0.940314769744873,0.9854939579963684,0.04481029510498047,0.934108555316925,0.9787166714668274
11,0.03545336797833443,0.9438256621360779,0.9868764281272888,0.04456886649131775,0.9429678916931152,0.9799524545669556
12,0.034453123807907104,0.9444310069084167,0.987415611743927,0.04138267785310745,0.9368770718574524,0.9792906641960144
13,0.032617613673210144,0.9467312097549438,0.9890562295913696,0.045837704092264175,0.936323344707489,0.9790698885917664
14,0.031939808279275894,0.9469733834266663,0.9895519614219666,0.04379349946975708,0.9413067698478699,0.9808158278465271
15,0.030474457889795303,0.9508474469184875,0.9904574751853943,0.04536258429288864,0.9424141645431519,0.9807588458061218
16,0.03029208444058895,0.951694905757904,0.9908750653266907,0.0504114143550396,0.9208194613456726,0.9781150221824646
17,0.03087477758526802,0.9507263898849487,0.9903427958488464,0.05164341628551483,0.9424141645431519,0.9806987643241882
18,0.03101765178143978,0.9503632187843323,0.9902164936065674,0.05812559649348259,0.9435216188430786,0.9809464812278748
19,0.030855217948555946,0.9501210451126099,0.9903374910354614,0.05158376321196556,0.9418604373931885,0.9814677238464355
20,0.0294583048671484,0.9507263898849487,0.9914676547050476,0.05586481839418411,0.9429678916931152,0.9816344976425171
21,0.02848457545042038,0.9549636840820312,0.9919223785400391,0.04251739755272865,0.9401993155479431,0.9825513362884521
22,0.027417266741394997,0.9561743140220642,0.9926067590713501,0.05120956152677536,0.9407530426979065,0.9809291958808899
23,0.027889978140592575,0.9553268551826477,0.9922593235969543,0.045865997672080994,0.9413067698478699,0.9813984632492065
24,0.027527684345841408,0.9576271176338196,0.9923946261405945,0.048888787627220154,0.9307862520217896,0.9804381132125854
25,0.02766392193734646,0.9548426270484924,0.9927810430526733,0.0844794511795044,0.8626799583435059,0.9757294058799744
26,0.0251478124409914,0.9602905511856079,0.9938629865646362,0.05744541063904762,0.9396456480026245,0.9823833703994751
