epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.16395483911037445,0.15415707230567932,0.7082324624061584,0.7491694092750549,0.7829360961914062,0.848547637462616
2,0.14316503703594208,0.12681928277015686,0.7742130756378174,0.8023256063461304,0.8509634733200073,0.8825622797012329
3,0.11466572433710098,0.09434548765420914,0.8194915056228638,0.8549280166625977,0.8852205276489258,0.9169903993606567
4,0.08836322277784348,0.06957091391086578,0.8610169291496277,0.8864894509315491,0.9209913015365601,0.9472476243972778
5,0.06975190341472626,0.06089017167687416,0.8962469696998596,0.905315637588501,0.9447793960571289,0.958125114440918
6,0.06465231627225876,0.0607299879193306,0.90617436170578,0.9097452759742737,0.950075626373291,0.9591903686523438
7,0.0629870817065239,0.05796446278691292,0.9116222858428955,0.9147287011146545,0.951321542263031,0.959967315196991
8,0.062057849019765854,0.05806977301836014,0.9116222858428955,0.9158360958099365,0.9520925283432007,0.9595484733581543
9,0.0617855042219162,0.057763174176216125,0.911985456943512,0.9152823686599731,0.951711893081665,0.9589167833328247
10,0.06097490340471268,0.05776767060160637,0.9131961464881897,0.9163898229598999,0.9528154730796814,0.9591578245162964
11,0.06103261187672615,0.05722886323928833,0.9121065139770508,0.920265793800354,0.9524267911911011,0.9584980010986328
12,0.061232831329107285,0.05731985345482826,0.9144067764282227,0.9180509448051453,0.9523133635520935,0.9580882787704468
